AA;K_CORSO_LA;DESCRIZIONE_CDL;SEDE_CDL;PSPA;PSPA_NOME;PSPA_LINGUA_OFFERTA;SEDE_PSPA;ANNO_DI_CORSO;SEMESTRE_PIANO;C_INSEGN;TIPO_INSEGN;DESC_TIPO_INSEGN;DESC_INSEGN;CFU;LINGUA_EROGAZIONE_INSEGN;ORDINE_DI_VISUALIZZAZIONE;DESCRIPTION
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;099325;M;MONODISCIPLINARE;FUNDAMENTALS OF MULTIMEDIA SIGNAL PROCESSING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;097683;M;MONODISCIPLINARE;MACHINE LEARNING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;097686;M;MONODISCIPLINARE;RECOMMENDER SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;099282;M;MONODISCIPLINARE;BIOINFORMATICA E GENOMICA FUNZIONALE;5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;3;051926;M;MONODISCIPLINARE;DESIGNING INTERACTION;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;051587;I;CORSO INTEGRATO;MODEL IDENTIFICATION AND DATA ANALYSIS;10,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;085900;M;MONODISCIPLINARE;CHIMICA GENERALE;5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;088882;M;MONODISCIPLINARE;FORMAL METHODS FOR CONCURRENT AND REAL-TIME SYSTEMS  (UIC 545);5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;089167;M;MONODISCIPLINARE;DATA MINING AND TEXT MINING (UIC 583);5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;089181;M;MONODISCIPLINARE;THEORETICAL COMPUTER SCIENCE;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089182;M;MONODISCIPLINARE;FORMAL LANGUAGES AND COMPILERS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;090037;M;MONODISCIPLINARE;MODEL IDENTIFICATION AND DATA ANALYSIS - 1ST MODULE;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;090957;M;MONODISCIPLINARE;CODE TRANSFORMATION AND OPTIMIZATION;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;093212;M;MONODISCIPLINARE;DESIGN AND IMPLEMENTATION OF MOBILE APPLICATIONS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;095901;M;MONODISCIPLINARE;ICT FOR CONTROL SYSTEMS ENGINEERING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;097678;M;MONODISCIPLINARE;DATA ACQUISITION SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;097685;M;MONODISCIPLINARE;ADVANCED USER INTERFACES;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;088877;M;MONODISCIPLINARE;TEORIA DEI SISTEMI (DINAMICA NON LINEARE);5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;088946;M;MONODISCIPLINARE;NATURAL LANGUAGE PROCESSING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;088983;M;MONODISCIPLINARE;FOUNDATIONS OF OPERATIONS RESEARCH;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089216;M;MONODISCIPLINARE;SOFT COMPUTING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;090950;M;MONODISCIPLINARE;DISTRIBUTED SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;090951;M;MONODISCIPLINARE;PHILOSOPHICAL ISSUES OF COMPUTER SCIENCE;5,00;EN;7;
